ITEMID,DESCRIPTION,COMMODITYCODE,COST ,COSTUM
R6147,Natural Masking Flavor 769028,Flavor,28.66,KG
R6145,Slippery Elm Bark Extract 4:1 Ulmus rubra,BotExtract,82.35,KG
RW5632,Chromium AAC Chelavite 2.5% Cr,Mineral,42.34,kg
RW5631,Molybdenum AAC NLT 2.5% Mo,Mineral,60.85,kg
RW5633,Magnesium Oxide powder 325 Mesh 57.8% Mg,Mineral,5.4,kg
RW5634,Vitamin K Phytonadione 1%,Vitamin,56,kg
RWL0258,Grape Seed Oil,Botanical,9.08,KG
RW5620,"Chaste Tree Berry Extract, 0.5% Anguside",BotExtract,53,KG
R6099,Milk Protein Isolate 90% non instantized (84% as is) 100368,Protein,10.1,KG
RB3619,Organic Acerola with Vitamin C Blend,Botanical,95.295,KG
R6227,affron  Saffron Extract,BotExtract,2600,Kg
RWL0260,Natural Tomato Lycopene 10% Oil Suspension,BotExtract,268,Kg
R6091,ErgoActive  5% L-Ergothioneine,AminoAcid,297,KG
R6098,Artificial Custard Flavor 19160,Flavor,29.76,KG
R6096,Natural Lemonade Flavor 862.3276U,Flavor,27.778,KG
R6097,Natural Vanilla Flavor WONF WE35,Flavor,24.07,KG
RW5621,Folic Acid 97%,Vitamin,275,KG
R6100,Organic Baobab Fruit Powder (as Fibriss ),Fiber,17,KG
R6104,Shagandha  Ashwagandha (Withania somifera) root extract,BotExtract,85,KG
R6105,Lemon Balm (Melissa officinalis) extract,BotExtract,42,KG
R6109,Natural Watermelon Flavor WONF A19-005667,Flavor,45.44,KG
R6161,Natural Vanilla Flavor WONF U_0001205,Flavor,65.46,KG
R6167,Natural Juicy Modifying Flavor Truetaste  936.3386D,Flavor,93.342,KG
R6171,Calcium B-Hydroxy-B-MethylButyrate (myHMB ),Nutrition,60,KG
R6150,KSM-66  Vegan Ashwagandha Root Extract,BotExtract,97.45,KG
R6173,Magnolia Extract 10% Honokiol,BotExtract,49,KG
R6172,Holy Basil Extract 2% Ursolic Acid,BotExtract,66,KG
R6340,Creatine Monohydrate 200 mesh (customer exclusive),AminoAcid,5.25,kg
R6164,Goldenseal (Hydrastis canadensis) root,Botanical,253,KG
R6163,Burdock (arctium lappa) root,Botanical,10.5,KG
R6160,Natural Chocolate Flavor WONF S059517,Flavor,46.72,KG
R6419,Isomaltulose (RMI07)-Customer Exclusive,Excipient,8.21,kg
R6417,Dicalcium Malate Granular (RMD12)-Customer Exclusive,Excipient,13.72,kg
R5476,Bifidobacterium lactis (HN019 ) 300 Billion CFU/g,Probiotic,1225,KG
R6146,BetaPower  Betaine Anhydrous 99%,Nutrition,20.5,KG
R6154,Natural Raspberry Flavor WONF ZM66,Flavor,26.455,KG
R6159,"Artichoke extract (5% Cynarin derivatives, 3% caffeoylquinic acids)",BotExtract,64,KG
R6158,4'Liver  (a blend of Terminalia chebula fruit extract and Sphaeranths indicus flower heads),BotExtract,175,KG
R6157,Natural Strawberry Banana Flavor U_0004339,Flavor,45.68,KG
R6413,Croscarmellose sodium (RMA01) -Customver Exclusive,Excipient,15.86,kg
R6221,Fennel Seed Extract 10:1,BotExtract,12.5,Kg
R5475,Lactobacillus acidophilus (NCFM ) 200 Billion CFU/g,Probiotic,970,KG
R6077,Dermaval  botanical blend N801.1,Botanical,385,KG
R6079,Natural Papaya Flavor WONF ZM11,Flavor,34.17,KG
R6086,Grapefruit Pectin (Citrus Paradisi),Botanical,23.98,KG
R6088,Hydrolyzed Fish Collagen (Cod) Pacific Peptides ,Protein,34,KG
R6085,Pau D'Arco Bark Powder,Botanical,11.5,KG
R6083,TesNor  (Theobroma cacao seed extract & Punica granatum fruit peel extract),BotExtract,403,KG
R6082,Pyrroloquinoline Quinone (PQQ) Disodium Salt 86%,Nutrition,1275,KG
R6081,Phytoceramides (from Ceramosies  Triticum Vulgare extract),BotExtract,2892,KG
R6089,Goldenseal Extract 4:1,BotExtract,13.5,KG
R6090,"New-Gar  Standardized & Deodorized 10,000 Allicin Granulated Garlic",BotExtract,39.5,KG
R6092,Natural Lemon & Lime Flavor WONF MTP00342,Flavor,35.5,KG
R6093,Natural Masking Flavor MTP00281,Flavor,82,KG
R6094,Natural Blueberry Type Flavor MTP00668,Flavor,43.6,KG
RWL0257,Organic Refined Avocado Oil (non-GMO),Fat/Facid,19.1,KG
R5908,Organic Pumpkin Powder,Botanical,48,KG
R5909,Pure Organic Maple Sugar Powder,Excipient,15.43,KG
RW0242,Sodium Copper Chlorophyllin,Mineral,410,KG
R5923,DE111 Bacillus subtilis 100 Billion CFU/g,Probiotic,650,KG
R5979,Bacopa Monnieri 7:1 Extract,BotExtract,56.75,KG
R6010,Natural Golden Milk Type Flavor 125a108,Flavor,40.234,KG
R5955,Pyridoxine Alpha-Ketoglutarate 52% Pyridoxine HCl,Vitamin,60,KG
R5980,Synapsa  Bacopa monnieri 55%,BotExtract,230,KG
R6005,AvailOm  50 High EPA Omega-3 Lysine Salt (15% DHA),Fat/Facid,215,KG
R6013,Marigold Extract 10% Lutein & 2% Zeaxanthin Beadlets Lutemax 2020,BotExtract,350,KG
R6011,Natural Bitter Blocker Flavor 769003,Flavor,35.05,KG
R5930,Andrographis paniculata Powder Extract,BotExtract,48,KG
R5936,Rutin Extract,BotExtract,45,KG
R5943,Natural Strawberry Type Flavor 769017,Flavor,55.12,KG
R5947,Natural Chocolate Cream Flavor 28-17-0195SD2,Flavor,43.43,KG
R5969,Natural Hazelnut Type Flavor Non-GMO 769020,Flavor,58.422,KG
R5941,Intesse  Stevia Leaf Extract,Excipient,163.25,KG
R5953,Natural Vanilla Cupcake Flavor WONF,Flavor,47.62,KG
R5974,Natural Pineapple Flavor WONF MTP00334,Flavor,29,KG
R5970,Natural Pineapple Type Flavor 73023204,Flavor,51.918,KG
R6028,Air Dried Beet Powder,Botanical,18.14,KG
R6031,Cellg8  Quercetin Powder (70%),BotExtract,305,KG
R6034,N&A Sour Gummy Candy Type Flavor ZE60956,Flavor,44.67,KG
R6038,Natural Raspberry Lemonade Type Flavor ZE61167,Flavor,72.84,KG
R6027,Stevia Extract Andromeda III,BotExtract,156,KG
R6014,Bergamonte  Full Spectrum Bergamot Extract (Citrus Bergamia) (fruit),BotExtract,245,KG
R6015,"Mobilee  Hyaluronic acid matrix (60-75% hyaluronic acid, 10% polysaccharides, 5% collagen)",Nutrition,1400,KG
R6023,exGrape  Total French Grape Extract (Vitis vinifera) (fruit),BotExtract,120,KG
R6017,DiMagnesium Malate Powder 18%,Mineral,14.9,KG
R6020,Natural Passionfruit Guava Flavor WONF 888.0150U,Flavor,65.939,KG
R6021,CDG  Calcium D-Glucarate,Nutrition,240,KG
R6022,Iron AAC (Aspartate) 19.5%,Mineral,17.58,KG
R6024,Natural Watermelon Type Flavor 717-012A,Flavor,33.07,KG
R5973,Natural Orange Flavor WONF 769021,Flavor,35.27,KG
R5972,Natural Orange Cream Type Flavor 769022,Flavor,40.79,KG
R5931,Natural Bitter Blocker Modifier Type Flavor 83353-P,Flavor,56.44,KG
R5925,Natural Mango Flavor 92.2101SDG,Flavor,29.101,KG
R5975,Natural Lemongrass Extract MTP00424,Flavor,27.4,KG
R5961,Natural Citrus Blend Flavor WONF ZE56072,Flavor,47.86,KG
RWL0246,AlaskOmega EE 250500M MSC Certified,Fat/Facid,43,KG
R5976,Probiotic 4 Blend Menopause Support 200 Billion CFU/g,Probiotic,585,KG
R5952,Magnesium Taurinate 8.3%,Mineral,14.31,KG
R5954,"Potassium Ascorbate 15%K, 65% ascorbic acid",Mineral,11.95,KG
R5933,Olive Leaf Extract 20% Oleuropein,BotExtract,38,KG
R5987,Natural & Artificial Blue Ice Pop Type Flavor ZE09655,Flavor,52.83,KG
R5988,Natural Bitter Blocker Type Flavor ZE56547,Flavor,62.34,KG
R5991,Natural Umami Flavor 936.4693U,Flavor,60.119,KG
R5978,20 Strain Probiotic Blend 100 CFU/g,Probiotic,401.25,KG
R5966,"MicrobiomeX  (citrus bioflavonoid extract) (whole fruit) (std. to 80% Hesperidin, 5% naringin)",BotExtract,224,KG
R5950,"Mushroom Immune Complex (Changa, Reishi, Maitake, Shiitake, Turkey tail)",Nutrition,295,KG
R5913,Natural Caramel Flavor WONF EY80 FOOD ONLY,Flavor,61.067,KG
R5912,Natural Mixed Berry Type Flavor SD Non-GMO 769016,Flavor,63.404,KG
R5920,Natural and Artificial Grape Jolly Rancher Type Flavor CI-GR-28314,Flavor,22.33,KG
R5919,Natural and Artificial Strawberry Starburst Type Flavor CI-ST-28193,Flavor,19.11,KG
R5916,Natural and Artificial Bombsicle Type Flavor 807.1585U,Flavor,33.995,KG
R5918,Natural and Artificial Wild Cherry Type Flavor 825.2634U,Flavor,25.42,KG
RWL0245,Organic Sunflower Lecithin Oil,Fat/Facid,23.4,KG
R5903,Natural Raspberry Flavor WONF SD A19-002394,Flavor,64.45,KG
R5815,"Organic Storg-FA (Folic Acid) (from Lemon Peel Extract, Citrus limon) 5.0%",Vitamin,160,kg
R5845,Organic green pea flakes FOOD ONLY,Botanical,34.96,kg
R5805,Storg-C Organic Amla Fruit Extract 50% Vitamin C,BotExtract,120,kg
R5807,Organic Potato Starch,Excipient,4.14,kg
R5811,"Organic Storg-Bio (Biotin) (from Sesbania Leaf Extract, Sesbania grandiflora) 0.5%",Vitamin,120,kg
R5804,Niacinamide USP 98.5%,Vitamin,10.5,kg
R5819,"Organic Storg-SE (Selenium) (from Mustard Seed Extract, Brassica nigra) 0.5%",Mineral,120,kg
R5827,Organic Spirulina Powder,Botanical,18.75,kg
R5850,Nutrifusion Vitamin Mineral Blend #98 NF-82333  FOOD ONLY,Botanical,370.37,KG
R5808,Organic Tapioca Maltodextrin,Excipient,3.57,kg
R5847,Natural Lemon Flavor WONF A19-002076,Flavor,59.54,KG
R5810,"Organic Storg-BT (Beta-Carotene) (from Annatto Seed Extract, Bixa orellana) 4%",Vitamin,130,kg
R5817,Organic Storg-Kid (Multivitamin Blend),Vitamin,130,kg
R5841,d-Biotin 1% on DCP,Vitamin,24,kg
R5820,"Organic Storg-Zn (Zinc) (from Guava Leaf Extract, Psidium guajava) 4%",Mineral,125,kg
R5822,Biogrown Vitamin K1 1% (from Medicago sativa),Vitamin,87.85,kg
R5823,Re-Natured  Vitamin B12 (methylcobalamin from S. cerevisiae),Vitamin,0,kg
R5843,Dipotassium Phosphate 44% K 17% P,Mineral,10.03,KG
R5851,Natural Orange Flavor WONF 703-007A,Flavor,29.387,kg
